title,url
Órbita 9 (2017),/en/subtitles/en-orbita-9-2017/Mb1E/download
Saving Private Ryan (1998),/en/subtitles/en-saving-private-ryan-1998/dv4x/download
Imposters (2017) S01E03,/en/subtitles/en-imposters-2017-S01E03-O/Jj1D/download
The X Files (1993) S01E01,/en/subtitles/en-the-x-files-1993-S01E01-O-pilot/TKQ4/download
,
13 Reasons Why (2017) S01E04,/en/subtitles/en-13-reasons-why-2017-S01E04-O/M9ZD/download
The 100 (2014) S01E04,/en/subtitles/en-the-100-2014-S01E04-O-murphy%27s-law/r5ku/download
The Expanse (2015) S01E07,/en/subtitles/en-the-expanse-2015-S01E07-O/-So_/download
Il racconto dei racconti (2015),/en/subtitles/en-il-racconto-dei-racconti-2015/JrY9/download
Z Nation (2014) S01E01,/en/subtitles/en-z-nation-2014-S01E01-O-puppies-and-kittens/Bt01/download
,
Grimm (2011) S04E20,/en/subtitles/en-grimm-2011-S04E20-O/hZQ8/download
Bates Motel (2013) S01E01,/en/subtitles/en-bates-motel-2013-S01E01-O-first-you-dream-then-you-die/A24j/download
,
,
American Horror Story (2011) S01E02,/en/subtitles/en-american-horror-story-2011-S01E02-O-home-invasion/tEUU/download
,
Fear the Walking Dead (2015) S01E03,/en/subtitles/en-fear-the-walking-dead-2015-S01E03-O-the-dog/Mds9/download
,
Jamestown (2017) S01E03,/en/subtitles/en-jamestown-2017-S01E03-O/KidE/download
To Rome with Love (2012),/en/subtitles/en-to-rome-with-love-2012/g2Ie/download
,
Boardwalk Empire (2010) S02E07,/en/subtitles/en-boardwalk-empire-2010-S02E07-O--peg-of-old/LbAU/download
Deadwood (2004) S01,/en/subtitles/en-deadwood-2004-S01-O/dIIC/download
Poldark (2015) S02E05,/en/subtitles/en-poldark-2015-S02E05-O/ssJB/download
The Tudors (2007) S01,/en/subtitles/en-the-tudors-2007-S01-O/yiEE/download
Band of Brothers (2001) S01E10,/en/subtitles/en-band-of-brothers-2001-S01E10-O-points/uPwG/download
The Last Kingdom (2015) S01E01,/en/subtitles/en-the-last-kingdom-2015-S01E01-O/hxs-/download
,
,
The Crown (2016) S01E01,/en/subtitles/en-the-crown-2016-S01E01-O/UhRC/download
,
"Wrong Man, The (1956)",/en/subtitles/en-wrong-man-the-1956/ok8B/download
"Lady from Shanghai, The (1947)",/en/subtitles/en-lady-from-shanghai-the-1947/kTI/download
"Killers, The (1946)",/en/subtitles/en-killers-the-1946/tWsE/download
"Asphalt Jungle, The (1950)",/en/subtitles/en-asphalt-jungle-the-1950/tlEB/download
,
"Strange Love of Martha Ivers, The (1946)",/en/subtitles/en-strange-love-of-martha-ivers-the-1946/-V4C/download
"Petrified Forest, The (1936)",/en/subtitles/en-petrified-forest-the-1936/FT8G/download
,
"Lineup, The (1958)",/en/subtitles/en-lineup-the-1958/wTYH/download
"Big Sleep, The (1946)",/en/subtitles/en-big-sleep-the-1946/x-8B/download
,
,
"Third Man, The (1949)",/en/subtitles/en-third-man-the-1949/MXUI/download
,
The Lost City of Z (2016),/en/subtitles/en-the-lost-city-of-z-2016/bohE/download
Teen Wolf (2011) S01E12,/en/subtitles/en-teen-wolf-2011-S01E12-O--code-braker/3ncT/download
Outlander (2014) S01E01,/en/subtitles/en-outlander-2014-S01E01-O-sassenach/cKoz/download
The Originals (2013) S01E03,/en/subtitles/en-the-originals-2013-S01E03-O-tangled-up-in-blue/Fcoo/download
The Vampire Diaries (2009) S04E18,/en/subtitles/en-the-vampire-diaries-2009-S04E18-O-american-gothic/8skj/download
The Magicians (2015) S01E02,/en/subtitles/en-the-magicians-2015-S01E02-O/izs_/download
Stranger Things (2016) S01E02,/en/subtitles/en-stranger-things-2016-S01E02-O/GTZB/download
Heartland (2007) S10E02,/en/subtitles/en-heartland-2007-S10E02-O/9dhB/download
Lost in Space (2018) S01E02,/en/subtitles/en-lost-in-space-2018-S01E02-O/YmdF/download
,
,
Supernatural (2005) S10E01,/en/subtitles/en-supernatural-2005-S10E01-O/SaU2/download
The Walking Dead (2010) S03E02,/en/subtitles/en-the-walking-dead-2010-S03E02-O-sick/i8Me/download
Lethal Weapon (2016) S01E01,/en/subtitles/en-lethal-weapon-2016-S01E01-O/HKZB/download
Punisher: War Zone (2008),/en/subtitles/en-punisher-war-zone-2008/5ioG/download
The Mortal Instruments: City of Bones (2013),/en/subtitles/en-the-mortal-instruments-city-of-bones-2013/La8p/download
Very Good Girls (2013),/en/subtitles/en-very-good-girls-2013/tr8x/download
Death in Paradise (2011) S05E08,/en/subtitles/en-death-in-paradise-2011-S05E08-O/i5M_/download
The Sopranos (1999) S01E01,/en/subtitles/en-the-sopranos-1999-S01E01-O-the-sopranos/i3kB/download
Fargo (2014) S01E01,/en/subtitles/en-fargo-2014-S01E01-O-the-crocodile%27s-dilemma/qwYv/download
Sherlock Holmes (2009),/en/subtitles/en-sherlock-holmes-2009/-_gJ/download
Dexter (2006) S08E04,/en/subtitles/en-dexter-2006-S08E04-O-scar-tissue/w9Mm/download
Prison Break (2005) S01,/en/subtitles/en-prison-break-2005-S01-O/OZwD/download
Sneaky Pete (2015) S01E02,/en/subtitles/en-sneaky-pete-2015-S01E02-O/U8RC/download
Bosch (2014) S01E10,/en/subtitles/en-bosch-2014-S01E10-O/lGw6/download
Sons of Anarchy (2008) S06E04,/en/subtitles/en-sons-of-anarchy-2008-S06E04-O-wolfsangel/A4go/download
Trust (2010),/en/subtitles/en-trust-2010/QOIS/download
How to Get Away with Murder (2014) S01E05,/en/subtitles/en-how-to-get-away-with-murder-2014-S01E05-O-we%27re-not-friends/vzA3/download
Blue Bloods (2010) S06E03,/en/subtitles/en-blue-bloods-2010-S06E03-O/tBY-/download
Better Call Saul (2015) S01E03,/en/subtitles/en-better-call-saul-2015-S01E03-O-nacho/aHA6/download
,
Dope (2015),/en/subtitles/en-dope-2015/0xA-/download
,
The Bible (2013) S01,/en/subtitles/en-the-bible-2013-S01-O/mA4k/download
,
,
,
,
,
Dirty Sexy Money (2007) S02E09,/en/subtitles/en-dirty-sexy-money-2007-S02E09-O/9VoF/download
Making a Murderer (2015) S01E05,/en/subtitles/en-making-a-murderer-2015-S01E05-O/VSA_/download
,
Planet Earth II (2016) S01E01,/en/subtitles/en-planet-earth-ii-2016-S01E01-O/PKNC/download
,
Deadliest Catch: Crab Fishing in Alaska (2005) S07E05,/en/subtitles/en-deadliest-catch-crab-fishing-in-alaska-2005-S07E05-O/YjES/download
,
,
,
Rapture-Palooza (2013),/en/subtitles/en-rapture-palooza-2013/Hrsl/download
,
,
"Defiant Ones, The (1958)",/en/subtitles/en-defiant-ones-the-1958/fLUF/download
,
,
Planet Earth II (2016) S01E01,/en/subtitles/en-planet-earth-ii-2016-S01E01-O/PKNC/download
,
,
,
,
Parks and Recreation (2009) S01E05,/en/subtitles/en-parks-and-recreation-2009-S01E05-O-the-banquet/DxsH/download
Ash vs Evil Dead (2015) S02E01,/en/subtitles/en-ash-vs-evil-dead-2015-S02E01-O/D9lB/download
,
,
The Last Man on Earth (2015) S01E01,/en/subtitles/en-the-last-man-on-earth-2015-S01E01-O-alive-in-tucson/N-06/download
"Sandlot, The (1993)",/en/subtitles/en-sandlot-the-1993/mFkR/download
,
It's Always Sunny in Philadelphia (2005) S01E01,/en/subtitles/en-it%27s-always-sunny-in-philadelphia-2005-S01E01-O/COgT/download
Mom (2013) S01E02,/en/subtitles/en-mom-2013-S01E02-O-a-pee-stick-and-an-asian-raccoon/bYMo/download
The Legend of Korra (2012) S02E04,/en/subtitles/en-the-legend-of-korra-2012-S02E04-O/aW8o/download
Steven Universe (2013) S02E13,/en/subtitles/en-steven-universe-2013-S02E13-O/bzg9/download
,
,
,
MacGyver (2016) S01E02,/en/subtitles/en-macgyver-2016-S01E02-O/dr1B/download
,
Into the Badlands (2015) S02E01,/en/subtitles/en-into-the-badlands-2015-S02E01-O-tiger-pushes-mountain/a4FD/download
Sunset Blvd. (1950),/en/subtitles/en-sunset-blvd-1950/5yUg/download
The Americans (2013) S01E02,/en/subtitles/en-the-americans-2013-S01E02-O-the-clock/vzEi/download
,
Breaking Bad (2008) S05E15,/en/subtitles/en-breaking-bad-2008-S05E15-O-granite-state/cE0o/download
Peaky Blinders (2013) S01E01,/en/subtitles/en-peaky-blinders-2013-S01E01-O/nTco/download
The Jinx: The Life and Deaths of Robert Durst (2015) E06,/en/subtitles/en-the-jinx-the-life-and-deaths-of-robert-durst-2015-E06-O-the-second-interview/ZpM7/download
Lucifer (2016) S01E01,/en/subtitles/en-lucifer-2016-S01E01-O-pilot/DIY9/download
The Blacklist (2013) S01E01,/en/subtitles/en-the-blacklist-2013-S01E01-O-pilot/2VQo/download
Criminal Minds (2005) S10E13,/en/subtitles/en-criminal-minds-2005-S10E13-O-nelson%27s-sparrow/Irw5/download
Riverdale (2017) S01E03,/en/subtitles/en-riverdale-2017-S01E03-O/WhBD/download
Wild in the Country (1961),/en/subtitles/en-wild-in-the-country-1961/2CUJ/download
Dilwale Dulhania Le Jayenge (1995),/en/subtitles/en-dilwale-dulhania-le-jayenge-1995/IXgm/download
Superstore (2015) S01E07,/en/subtitles/en-superstore-2015-S01E07-O/aDw_/download
How I Met Your Mother (2005) S01,/en/subtitles/en-how-i-met-your-mother-2005-S01-O/oPIF/download
,
American Made (2017),/en/subtitles/en-american-made-2017/pgZF/download
Orange Is the New Black (2013) S01E03,/en/subtitles/en-orange-is-the-new-black-2013-S01E03-O-lesbian-request-denied/g6cm/download
Jane the Virgin (2014) S03E01,/en/subtitles/en-jane-the-virgin-2014-S03E01-O-chapter-forty-five/7PFB/download
The Goldbergs (2013) S01E03,/en/subtitles/en-the-goldbergs-2013-S01E03-O-mini-murray/mqso/download
iZombie (2015) S01E01,/en/subtitles/en-izombie-2015-S01E01-O/U6U7/download
Modern Family (2009) S03E02,/en/subtitles/en-modern-family-2009-S03E02-O-when-good-kids-go-bad/3O4T/download
New Girl (2011) S01E01,/en/subtitles/en-new-girl-2011-S01E01-O-pilot/wOsT/download
The Big Bang Theory (2007) S07E05,/en/subtitles/en-the-big-bang-theory-2007-S07E05-O/EdQo/download
,
Silicon Valley (2014) S01E01,/en/subtitles/en-silicon-valley-2014-S01E01-O-minimum-viable-product/AoA8/download
Friends (1994) S01E01,/en/subtitles/en-friends-1994-S01E01-O-the-one-where-monica-gets-a-roommate-%28aka-the-one-where-it-all-began%29/orIS/download
Santa Clarita Diet (2017) S01E01,/en/subtitles/en-santa-clarita-diet-2017-S01E01-O/WvxC/download
Brooklyn Nine-Nine (2013) S01E03,/en/subtitles/en-brooklyn-nine-nine-2013-S01E03-O-the-slump/CYko/download
Atlanta (2016) S01E01,/en/subtitles/en-atlanta-2016-S01E01-O-the-big-bang/A5BB/download
Roseanne (1988) S10E01,/en/subtitles/en-roseanne-1988-S10E01-O/iltF/download
The Office (2005) S03,/en/subtitles/en-the-office-2005-S03-O/9ZQE/download
Shameless (2011) S02E03,/en/subtitles/en-shameless-2011-S02E03-O-i%27ll-light-a-candle-for-you-every-day/NxIW/download
Roseanne (1988) S10E01,/en/subtitles/en-roseanne-1988-S10E01-O/iltF/download
Suits (2011) S03E02,/en/subtitles/en-suits-2011-S03E02-O-i-want-you-to-want-me/eOMm/download
,
,
,
,
,
,
,
Victoria (2015),/en/subtitles/en-victoria-2015/hp0-/download
,
Genius (2017) S01E03,/en/subtitles/en-genius-2017-S01E03-O-chapter-three/XQFE/download
The Queen of Versailles (2012),/en/subtitles/en-the-queen-of-versailles-2012/wxUf/download
,
