title,year,mpaa_rating,imdb_rating,imdb_ratings_total,imdb_popularity,imdb_user_reviews_total,imdb_critic_reviews_total,runtime,genre,language,country,release_date,production_co,color,description,poster_image,director,cast,budget,gross_usa_weekend,gross_usa,gross_worldwide
Tangled,2010,PG,7.8,"338,134",509,414,328,,"Animation, Adventure, Comedy, Family, Fantasy, Musical, Romance",English,USA,24 November 2010 (USA),Walt Disney Animation Studios,Color,"After receiving the healing powers from a magical flower, the baby Princess Rapunzel is kidnapped from the palace in the middle of the night by Mother Gothel. Mother Gothel knows that the flower's magical powers are now growing within the golden hair of Rapunzel, and to stay young, she must lock Rapunzel in her hidden tower. Rapunzel is now a teenager and her hair has grown to a length of 70-feet. The beautiful Rapunzel has been in the tower her entire life, and she is curious of the outside world. One day, the bandit Flynn Ryder scales the tower and is taken captive by Rapunzel. Rapunzel strikes a deal with the charming thief to act as her guide to travel to the place where the floating lights come from that she has seen every year on her birthday. Rapunzel is about to have the most exciting and magnificent journey of her life.","https://ia.media-imdb.com/images/M/MV5BMTAxNDYxMjg0MjNeQTJeQWpwZ15BbWU3MDcyNTk2OTM@._V1_UX182_CR0,0,182,268_AL_.jpg",Nathan Greno,"Mandy Moore,Zachary Levi,Donna Murphy,Ron Perlman,M.C. Gainey,Jeffrey Tambor,Brad Garrett,Paul F. Tompkins,Richard Kiel,Delaney Rose Stein,Nathan Greno,Byron Howard,Tim Mertens,Michael Bell,Bob Bergen","$260,000,000","$48,767,052","$200,821,936","$591,794,936"
The Legend of Korra            ,,TV-Y7-FV,8.6,"77,933",423,164,25,23,"Animation, Action, Adventure, Drama, Family, Fantasy, Sci-Fi",English,USA,14 April 2012 (USA),Ginormous Madman,Color,"Taking place 70 years after the events of ""Avatar: The Last Airbender,"" this story follows the adventures of the Avatar after Aang - a passionate, rebellious, and fearless teenage girl from the Southern Water Tribe named Korra. With three of the four elements under her belt (Earth, Water, and Fire), Korra seeks to master the final element, Air. Her quest leads her to the epicenter of the modern ""Avatar"" world, Republic City - a metropolis that is fueled by steampunk technology. It is a virtual melting pot where benders and non-benders from all nations live and thrive. However, Korra discovers that Republic City is plagued by crime as well as a growing anti-bending revolution that threatens to rip it apart. Under the tutelage of Aang's son, Tenzin, Korra begins her airbending training while dealing with the dangers at large.","https://ia.media-imdb.com/images/M/MV5BZGE4NzM4YzktNmY5NS00OTgzLWJkYWItMWRjZGIzMjIzNTVlXkEyXkFqcGdeQXVyNzA5NjUyNjM@._V1_UY268_CR5,0,182,268_AL_.jpg",Michael Dante DiMartino,"Janet Varney,Jeff Bennett,Dee Bradley Baker,P.J. Byrne,David Faustino,J.K. Simmons,Seychelle Gabriel,Mindy Sterling,Logan Wells,Kiernan Shipka,John Michael Higgins",,,,
White Heat,1949,Not Rated,8.2,"23,068",,162,86,114,"Action, Crime, Drama, Film-Noir",English,USA,3 September 1949 (USA),Warner Bros., Black and White,"Cody Jarrett is the sadistic leader of a ruthless gang of thieves. Afflicted by terrible headaches and fiercely devoted to his 'Ma,' Cody is a volatile, violent, and eccentric leader. Cody's top henchman wants to lead the gang and attempts to have an 'accident' happen to Cody, while he is running the gang from in jail. But Cody is saved by an undercover cop, who thereby befriends him and infiltrates the gang. Finally, the stage is set for Cody's ultimate betrayal and downfall, during a big heist at a chemical plant.","https://ia.media-imdb.com/images/M/MV5BZmI5NTA3MjItYzdhMi00MWMxLTg3OWMtYWQyYjg5MTFmM2U0L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX182_CR0,0,182,268_AL_.jpg",Raoul Walsh,"James Cagney,Virginia Mayo,Edmond O'Brien,Margaret Wycherly,Steve Cochran,John Archer,Wally Cassell,Fred Clark",,,,
Voice in the Wind,1944,Approved,5.3,152,,10,4,85,"Crime, Drama, Film-Noir, Romance",English,USA,3 March 1944 (USA),Ripley/Monter Productions, Black and White,"A concert pianist has lost his memory, the result of his being arrested and tortured by the Nazis during the war for playing a banned song. He journeys to the island of Guadelupe to try to regain his memory and his health.","https://ia.media-imdb.com/images/M/MV5BODUxMDA5YmEtMTI4ZC00ODk4LWE1NWEtZDRjZDllM2QzY2NjXkEyXkFqcGdeQXVyMTk2MzI2Ng@@._V1_UX182_CR0,0,182,268_AL_.jpg",Arthur Ripley,"Francis Lederer,Sigrid Gurie,J. Edward Bromberg,J. Carrol Naish,Alexander Granach,David Cota,Olga Fabian,Howard Johnson,Hans Schumm,Luis Alberni,George Sorel,Martin Garralaga,Jacqueline Dalya,Rudolf Myzet,Fred Nurney","$50,000",,,
The Strange Love of Martha Ivers,1946,Unrated,7.5,"6,534",,96,38,116,"Drama, Film-Noir, Romance",English,USA,13 September 1946 (USA),Hal Wallis Productions, Black and White,"In 1928, young heiress Martha Ivers fails to run off with friend Sam Masterson, and is involved in fatal events. Years later, Sam returns to find Martha the power behind Iverstown and married to ""good boy"" Walter O'Neil, now district attorney. At first, Sam is more interested in displaced blonde Toni Marachek than in his boyhood friends, but they draw him into a convoluted web of plotting and cross-purposes.","https://ia.media-imdb.com/images/M/MV5BZmJjMDIxMGUtZWM1NS00ZTg5LWI2NWQtNjUxZjc5MjI5OTc3XkEyXkFqcGdeQXVyNjc0MzMzNjA@._V1_UX182_CR0,0,182,268_AL_.jpg",Lewis Milestone,"Barbara Stanwyck,Van Heflin,Lizabeth Scott,Kirk Douglas,Judith Anderson,Roman Bohnen,Darryl Hickman,Janis Wilson,Ann Doran,Frank Orth,James Flavin,Mickey Kuhn,Charles D. Brown",,,,
Gilda,1946,Not Rated,7.8,"23,167",,161,104,110,"Drama, Film-Noir, Romance, Thriller",English,USA,25 April 1946 (USA),Columbia Pictures Corporation, Black and White,"Just arrived in Argentina, small-time crooked gambler Johnny Farrell is saved from a gunman by sinister Ballin Mundson, who later makes Johnny his right-hand man. But their friendship based on mutual lack of scruples is strained when Mundson returns from a trip with a wife: the supremely desirable Gilda, whom Johnny once knew and learned to hate. The relationship of Johnny and Gilda, a battlefield of warring emotions, becomes even more bizarre after Mundson disappears...","https://ia.media-imdb.com/images/M/MV5BYWUxMzViZTUtNTYxNy00YjY4LWJmMjYtMzNlOThjNjhiZmZkXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",Charles Vidor,"Rita Hayworth,Glenn Ford,George Macready,Joseph Calleia,Steven Geray,Joe Sawyer,Gerald Mohr,Mark Roberts,Ludwig Donath,Donald Douglas",,,,
Key Largo,1948,Not Rated,7.9,"31,931",,158,70,100,"Action, Crime, Drama, Film-Noir, Thriller",English,USA,31 July 1948 (USA),Warner Bros., Black and White,"Frank McCloud travels to a run-down hotel on Key Largo to honor the memory of a friend who died bravely in his unit during WW II. His friend's widow, Nora Temple, and wheelchair bound father, James Temple manage the hotel and receive him warmly, but the three of them soon find themselves virtual prisoners when the hotel is taken over by a mob of gangsters led by Johnny Rocco who hole up there to await the passing of a hurricane. Mr. Temple strongly reviles Rocco but due to his infirmities can only confront him verbally. Having become disillusioned by the violence of war, Frank is reluctant to act, but Rocco's demeaning treatment of his alcoholic moll, Gaye Dawn, and his complicity in the deaths of some innocent Seminole Indians and a deputy sheriff start to motivate McCloud to overcome his Hamlet-like inaction.","https://ia.media-imdb.com/images/M/MV5BNjU0NjU1NjYzN15BMl5BanBnXkFtZTgwMTk0NzE2MjE@._V1._CR0.883331298828125,23.533340454101562,686,1012_UX182_CR0,0,182,268_AL_.jpg",John Huston,"Humphrey Bogart,Edward G. Robinson,Lauren Bacall,Lionel Barrymore,Claire Trevor,Thomas Gomez,Harry Lewis,John Rodney,Marc Lawrence,Dan Seymour,Monte Blue,William Haade",,,"$8,125,000,",
Spellbound,1945,Not Rated,7.6,"36,899",,171,106,111,"Film-Noir, Mystery, Romance, Thriller",English,USA,28 December 1945 (USA),Selznick International Pictures,Color,"Dr. Constance Petersen (Ingrid Bergman) is a psychiatrist at Green Manors mental asylum. The head of Green Manors has just been replaced, with his replacement being the renowned Dr. Anthony Edwardes (Gregory Peck). Romance blossoms between Dr. Petersen and Dr. Edwards but Dr. Edwards starts to show odd aversions and personality traits. It is discovered that he is an impostor, and amnesiac, and may have killed the real Dr. Edwardes. Dr. Petersen is determined to discover the truth through unlocking the secrets held in the impostor's mind, a process which potentially puts her and others' lives at risk.","https://ia.media-imdb.com/images/M/MV5BMTM2NDI5Nzg5Nl5BMl5BanBnXkFtZTcwNDk3NzI0NA@@._V1_UX182_CR0,0,182,268_AL_.jpg",Alfred Hitchcock,"Ingrid Bergman,Gregory Peck,Michael Chekhov,Leo G. Carroll,Rhonda Fleming,John Emery,Norman Lloyd,Bill Goodwin,Steven Geray,Donald Curtis,Wallace Ford,Art Baker,Regis Toomey,Paul Harvey","$1,696,377",,"$7,000,000",
The Petrified Forest,1936,Not Rated,7.6,"10,572",,103,48,82,"Drama, Film-Noir, Romance, Thriller",English,USA,8 February 1936 (USA),Warner Bros., Black and White,"Gabby lives and works at her dads small diner out in the desert. She can't stand it and wants to go and live with her mother in France. Along comes Alan, a broke man with no will to live, who is traveling to see the pacific, and maybe to drown in it. Meanwhile Duke Mantee a notorious killer and his gang is heading towards the diner where Mantee plan on meeting up with his girl.","https://ia.media-imdb.com/images/M/MV5BMTk0NTcyNzgxNl5BMl5BanBnXkFtZTgwNzEzMzE5MTE@._V1_UX182_CR0,0,182,268_AL_.jpg",Archie Mayo,"Leslie Howard,Bette Davis,Genevieve Tobin,Dick Foran,Humphrey Bogart,Joe Sawyer,Porter Hall,Charley Grapewin,Paul Harvey,Eddie Acuff,Adrian Morris,Nina Campana,Slim Thompson,John Alexander","$500,000",,,
Laura,1944,Not Rated,8.1,"36,069",,249,131,88,"Drama, Film-Noir, Mystery",English,USA,November 1944 (USA),Twentieth Century Fox, Black and White,"Detective Mark McPherson investigates the killing of Laura, found dead on her apartment floor before the movie starts. McPherson builds a mental picture of the dead girl from the suspects whom he interviews. He is helped by the striking painting of the late lamented Laura hanging on her apartment wall. But who would have wanted to kill a girl with whom every man she met seemed to fall in love? To make matters worse, McPherson finds himself falling under her spell too. Then one night, halfway through his investigations, something seriously bizarre happens to make him re-think the whole case.","https://ia.media-imdb.com/images/M/MV5BYWQ0MmRiMjMtM2Y1MC00MTYwLWI4YzktOGI0MjdiNzJlZDc3L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UY268_CR4,0,182,268_AL_.jpg",Otto Preminger,"Gene Tierney,Dana Andrews,Clifton Webb,Vincent Price,Judith Anderson,Grant Mitchell","$1,020,000",,,
Two O'Clock Courage,1945,Not Rated,6.5,660,,14,7,68,"Crime, Drama, Film-Noir, Mystery",English,USA,15 February 1946 (Mexico),RKO Radio Pictures, Black and White,"After nearly running over him with her cab, Patty Mitchell picks up a fare who claims to have amnesia. As he fumbles to remember the basic facts of his identity, Patty becomes interested in the stranger and decides to help him in his search. But as the pieces of the puzzle begin to fall into place, and Patty's interest becomes more personal, the stranger finds that he is the prime suspect in a murder case.","https://ia.media-imdb.com/images/M/MV5BNWUxYzE1MjUtNmY2Yy00MGZiLTlmMzEtYTA0NDUxOWQ3NTg3XkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_UY268_CR3,0,182,268_AL_.jpg",Anthony Mann,"Tom Conway,Ann Rutherford,Richard Lane,Lester Matthews,Roland Drew,Emory Parnell,Jane Greer,Jean Brooks",,,,
The Second Woman,1950,Approved,6.4,753,,34,5,91,"Drama, Film-Noir, Mystery, Romance",English,USA,7 July 1950 (USA),Harry Popkin Productions, Black and White,"In flashback from a 'Rebecca'-style beginning: Ellen Foster, visiting her aunt on the California coast, meets neighbor Jeff Cohalan and his ultramodern clifftop house. Ellen is strongly attracted to Jeff, who's being plagued by unexplainable accidents, major and minor. Bad luck, persecution...or paranoia? Warned that Jeff could be dangerous, Ellen fears that he's in danger, as the menacing atmosphere darkens.","https://ia.media-imdb.com/images/M/MV5BMDNiZWRiOWUtZDU0YS00YzMyLTljMmItZThkZTM2YzZlNTYyL2ltYWdlXkEyXkFqcGdeQXVyNzA4ODc3ODU@._V1_UY268_CR123,0,182,268_AL_.jpg",James V. Kern,"Robert Young,Betsy Drake,John Sutton,Florence Bates,Morris Carnovsky,Henry O'Neill,Jean Rogers,Raymond Largay,Shirley Ballard,Vici Raaf,Jason Robards Sr.,Steven Geray,Jimmie Dodd,Smoki Whitfield,Cliff Clark",,,,
Sirocco,1951,Approved,6.3,"1,583",,39,17,98,"Action, Drama, Film-Noir",English,USA,13 June 1951 (USA),Santana Pictures Corporation, Black and White,In 1925 Damascus Harry Smith runs guns to the rebels under Emir Hassan. The French arrest him along with others and force him to sell weapons to them. He develops an interest in French intelligence officer Feroud's mistress Violette.,"https://ia.media-imdb.com/images/M/MV5BYTUxODNmNTgtNzQ2NC00Y2E3LThkNTQtNzhiOWE4MGFhMTVjXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_UY268_CR1,0,182,268_AL_.jpg",Curtis Bernhardt,"Humphrey Bogart,Märta Torén,Lee J. Cobb,Everett Sloane,Gerald Mohr,Zero Mostel,Nick Dennis,Onslow Stevens,Ludwig Donath,David Bond",,,,
Ace in the Hole,1951,Not Rated,8.2,"22,400",,166,139,111,"Drama, Film-Noir",English,USA,4 July 1951 (USA),Paramount Pictures, Black and White,"Charles Tatum, a down-on-his-luck reporter, takes a job with a small New Mexico newspaper. The job is pretty boring until he finds a man trapped in an old Indian dwelling. He jumps at the chance to make a name for himself by taking over and prolonging the rescue effort, and feeding stories to major newspapers. He creates a national media sensation and milks it for all it is worth - until things go terribly wrong.","https://ia.media-imdb.com/images/M/MV5BNDUzZjlhZTYtN2E5MS00ODQ3LWI1ZjgtNzdiZmI0NTZiZTljXkEyXkFqcGdeQXVyMjI4MjA5MzA@._V1_UX182_CR0,0,182,268_AL_.jpg",Billy Wilder,"Kirk Douglas,Jan Sterling,Robert Arthur,Porter Hall,Frank Cady,Richard Benedict,Ray Teal,Lewis Martin,John Berkes,Frances Dominguez,Gene Evans,Frank Jaquet,Harry Harvey,Bob Bumpas,Geraldine Hall","$1,800,000",,"$3,969,893",
Don't Bother to Knock,1952,Approved,6.9,"4,824",,79,32,76,"Drama, Film-Noir, Mystery, Thriller",English,USA,August 1952 (USA),Twentieth Century Fox, Black and White,"Airline pilot Jed stays at the New York hotel where girlfriend Lyn is a singer. He sees Nell in a window opposite his and they get chummy. When the girl she's baby-sitting, Bunny, enters Nell goes crazy and sends her to her room. She fantasizes that Jed is her long lost fiance. Jed comes to realize that Nell is more than a little whacko.","https://ia.media-imdb.com/images/M/MV5BNTkzNTFiYTEtNTUwMy00MWE4LTk3N2QtMWNlODFmYjlmYjU1XkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",Roy Ward Baker,"Richard Widmark,Marilyn Monroe,Anne Bancroft,Donna Corcoran,Jeanne Cagney,Lurene Tuttle,Elisha Cook Jr.,Jim Backus,Verna Felton,Willis Bouchey,Don Beddoe,Emmett Vogan",,,,
Angels with Dirty Faces,1938,Not Rated,8.0,"17,443",,138,41,97,"Crime, Drama, Film-Noir, Thriller",English,USA,26 November 1938 (USA),Warner Bros., Black and White,"Two boyhood friends, Rocky Sullivan and Jerry Connolly have taken different paths in life. After Rocky is arrested he is sent to a juvenile facility and becomes a lifelong tough guy and criminal. Jerry on the other hand goes straight and becomes a Catholic priest ministering to people in the same neighborhood when he and Rocky grew up. When Rocky is released from prison he resumes his criminal lifestyle and becomes much admired by many of the local kids. Worried that the kids will follow Rocky into the criminal world, Jerry works hard to keep them on the straight and narrow. When Rocky is convicted and sentenced to the electric chair, Jerry asks him for one last favor.","https://ia.media-imdb.com/images/M/MV5BY2JhZmJmOTQtMjg5Ni00N2M4LTlkNDAtOTc0ZGQ2MTJhNDM4XkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX182_CR0,0,182,268_AL_.jpg",Michael Curtiz,"James Cagney,Pat O'Brien,Humphrey Bogart,Ann Sheridan,George Bancroft,The Dead End Kids,Billy Halop,Bobby Jordan,Leo Gorcey,Gabriel Dell,Huntz Hall,Bernard Punsly,Joe Downing,Edward Pawley,Adrian Morris",,,,
Killer's Kiss,1955,Not Rated,6.7,"17,713",,108,58,67,"Crime, Drama, Film-Noir, Thriller",English,USA,1 October 1955 (USA),Minotaur Productions, Black and White,"Prize-fighter Davy Gordon intervenes when private dancer Gloria Price is being attacked by her employer and lover Vincent Raphello. This brings the two together and they get involved with each other, which displeases Raphello. He sends men out to kill Davy, but they instead kill his friend. Gloria is soon kidnapped by Raphello and his men, and it is up to Davy to save her.","https://ia.media-imdb.com/images/M/MV5BM2FiNjRlMWQtNDk0Ny00OTA0LWI0ZjEtNTM4NmZlZTllZDFlXkEyXkFqcGdeQXVyNjMxMzM3NDI@._V1_UX182_CR0,0,182,268_AL_.jpg",Stanley Kubrick,"Frank Silvera,Jamie Smith,Irene Kane,Jerry Jarrett,Mike Dana,Felice Orlandi,Shaun O'Brien,Barbara Brand,David Vaughan,Alec Rubin,Ralph Roberts,Phil Stevenson,Arthur Feldman,Bill Funaro,Skippy Adelman","$75,000",,,
