title,image,distributor,release_date,genre,duration,rating,budget,gross_domestic,gross_foreign,gross_worldwide,director,cast,sub_genres
The Dark Knight,"https://ia.media-imdb.com/images/M/MV5BMTMxNTMwODM0NF5BMl5BanBnXkFtZTcwODAyMTk2Mw@@._V1_UY222_CR0,0,150,222_AL.jpg", Warner Bros.," July 18, 2008", Action / Adventure, 2 hrs. 30 min., PG-13, $185 million,"$533,345,358",,,Christopher Nolan,"David S. Goyer, Christopher Nolan","Comic Book Adaptation, IMAX (Feature-length), Superhero"
Spider-Man 3,"https://ia.media-imdb.com/images/M/MV5BYTk3MDljOWQtNGI2My00OTEzLTlhYjQtOTQ4ODM2MzUwY2IwXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_UY222_CR0,0,150,222_AL.jpg", Sony / Columbia," May 4, 2007", Action / Adventure, 2 hrs. 20 min., PG-13, $258 million,"$336,530,303",,,Sam Raimi,Alvin Sargent,"Comic Book Adaptation, IMAX (Feature-length), Superhero"
Dead Man's Chest,"https://ia.media-imdb.com/images/M/MV5BMTcwODc1MTMxM15BMl5BanBnXkFtZTYwMDg1NzY3._V1_UY222_CR0,0,150,222_AL.jpg", Buena Vista," July 7, 2006", Period Adventure, 2 hrs. 31 min., PG-13, $225 million,"$423,315,812",,,Gore Verbinski,"Stuart Beattie, Ted Elliott, Terry Rossio","Adventure - Period, Pirate, Swashbuckler, Treasure Hunt"
Revenge of the Sith,"https://ia.media-imdb.com/images/M/MV5BNTc4MTc3NTQ5OF5BMl5BanBnXkFtZTcwOTg0NjI4NA@@._V1_UY222_CR0,0,150,222_AL.jpg", Fox," May 19, 2005", Sci-Fi Fantasy, 2 hrs. 26 min., PG-13, $113 million,"$380,270,577",,,George Lucas,George Lucas,"Prequel, Sci-Fi - Adventure"
Shrek 2,"https://ia.media-imdb.com/images/M/MV5BMDJhMGRjN2QtNDUxYy00NGM3LThjNGQtMmZiZTRhNjM4YzUxL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UY222_CR0,0,150,222_AL.jpg", DreamWorks," May 19, 2004", Animation, 1 hrs. 33 min., PG, $150 million,"$441,226,247",,,Andrew AdamsonKelly AsburyConrad Vernon,"J. David Stem, David N. Weiss","Animation, Animation - Computer, Animation - Fantasy"
Return of the King,"https://ia.media-imdb.com/images/M/MV5BYWY1ZWQ5YjMtMDE0MS00NWIzLWE1M2YtODYzYTk2OTNlYWZmXkEyXkFqcGdeQXVyNDUyOTg3Njg@._V1_UY222_CR0,0,150,222_AL.jpg", New Line," December 17, 2003", Fantasy, 3 hrs. 20 min., PG-13, $94 million,"$377,027,325",,,Peter Jackson,Philippa Boyens,"Fantasy - Live Action, Sword and Sorcery"
Spider-Man,"https://ia.media-imdb.com/images/M/MV5BZDEyN2NhMjgtMjdhNi00MmNlLWE5YTgtZGE4MzNjMTRlMGEwXkEyXkFqcGdeQXVyNDUyOTg3Njg@._V1_UY222_CR0,0,150,222_AL.jpg", Sony / Columbia," May 3, 2002", Action / Adventure, 2 hrs. 1 min., PG-13, $139 million,"$403,706,375",,,Sam Raimi,David Koepp,"Comic Book Adaptation, Superhero, Superhero - Origin"
Harry Potter / Sorcerer's Stone,"https://ia.media-imdb.com/images/M/MV5BNjQ3NWNlNmQtMTE5ZS00MDdmLTlkZjUtZTBlM2UxMGFiMTU3XkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_UY222_CR0,0,150,222_AL.jpg", Warner Bros.," November 16, 2001", Fantasy, 2 hrs. 33 min., PG, $125 million,"$317,575,550",,,Chris Columbus,Steve Kloves,"Dragon - Supporting Role, Family - Children's Book Adaptation, Fantasy - Live Action, School - Prep / Boarding / Catholic, Young-Adult Book Adaptations"
The Grinch,"https://ia.media-imdb.com/images/M/MV5BNWNiNTczNzEtMjQyZC00MjFmLTkzMDMtODk4ZGMyZmE0N2E4XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UY222_CR0,0,150,222_AL.jpg", Universal," November 17, 2000", Family Comedy, 1 hrs. 44 min., PG, $123 million,"$260,044,825",,,Ron Howard,"Jim Carrey, Anthony Hopkins*","Christmas, Family - Children's Book Adaptation"
The Phantom Menace,"https://ia.media-imdb.com/images/M/MV5BYTRhNjcwNWQtMGJmMi00NmQyLWE2YzItODVmMTdjNWI0ZDA2XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UY222_CR0,0,150,222_AL.jpg", Fox," May 19, 1999", Sci-Fi Fantasy, 2 hrs. 13 min., PG, $115 million,"$431,088,295",,,George Lucas,George Lucas,"Prequel, Sci-Fi - Adventure"
Saving Private Ryan,"https://ia.media-imdb.com/images/M/MV5BZjhkMDM4MWItZTVjOC00ZDRhLThmYTAtM2I5NzBmNmNlMzI1XkEyXkFqcGdeQXVyNDYyMDk5MTU@._V1_UY222_CR0,0,150,222_AL.jpg", DreamWorks," July 24, 1998", War, 2 hrs. 50 min., R, $70 million,"$216,540,909",,,Steven Spielberg,"Tom Hanks, Edward Burns, Vin Diesel, Giovanni Ribisi, Matt Damon, Paul Giamatti*, Bryan Cranston*","Drama - Summer, War - World War 2"
Titanic,"https://ia.media-imdb.com/images/M/MV5BMDdmZGU3NDQtY2E5My00ZTliLWIzOTUtMTY4ZGI1YjdiNjk3XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_UY222_CR0,0,150,222_AL.jpg", Paramount," December 19, 1997", Romance, 3 hrs. 14 min., PG-13, $200 million,"$600,788,188",,,James Cameron,James Cameron,"Disaster, Romantic Drama"
