title,url,url2
Black Panther (2018),,/en/subtitles/en-black-panther-2018/yUdF/download
,,
,,
,,
Troy (2004),/en/subtitles/en-troy-2004/kOUD/download,/en/subtitles/en-troy-2004/kOUD/download
Dunkirk (2017),/en/subtitles/en-dunkirk-2017/HgxF/download,/en/subtitles/en-dunkirk-2017/HgxF/download
,,
13 Hours: The Secret Soldiers of Benghazi (2016),/en/subtitles/en-13-hours-the-secret-soldiers-of-benghazi-2016/3JFA/download,/en/subtitles/en-13-hours-the-secret-soldiers-of-benghazi-2016/KKZA/download
,,
The Revenant (2015),/en/subtitles/en-the-revenant-2015/jdk_/download,/en/subtitles/en-the-revenant-2015/K-Q-/download
,,
12 Years a Slave (2013),/en/subtitles/en-12-years-a-slave-2013/g58s/download,/en/subtitles/en-12-years-a-slave-2013/bFMr/download
Marrowbone (2017),/en/subtitles/en-marrowbone-2017/jkBF/download,/en/subtitles/en-marrowbone-2017/jkBF/download
,,
,,
The Shining (1980),/en/subtitles/en-the-shining-1980/ciAF/download,/en/subtitles/en-the-shining-1980/MRg-/download
Friday the 13th (1980),/en/subtitles/en-friday-the-13th-1980/KvcU/download,/en/subtitles/en-friday-the-13th-1980/KvcU/download
The Dark Tower (2017),/en/subtitles/en-the-dark-tower-2017/Dt9E/download,/en/subtitles/en-the-dark-tower-2017/Dt9E/download
,,
Spinning Man (2018),/en/subtitles/en-spinning-man-2018/fWFF/download,/en/subtitles/en-spinning-man-2018/fWFF/download
Blade Runner 2049 (2017),/en/subtitles/en-blade-runner-2049-2017/iyBF/download,/en/subtitles/en-blade-runner-2049-2017/iyBF/download
Fifty Shades Freed (2018),,/en/subtitles/en-fifty-shades-freed-2018/qGJF/download
Forever My Girl (2018),/en/subtitles/en-forever-my-girl-2018/NWRF/download,/en/subtitles/en-forever-my-girl-2018/NWRF/download
,,
,,
Phantom Thread (2017),/en/subtitles/en-phantom-thread-2017/2V1F/download,/en/subtitles/en-phantom-thread-2017/2V1F/download
Call Me by Your Name (2017),/en/subtitles/en-call-me-by-your-name-2017/xj1F/download,/en/subtitles/en-call-me-by-your-name-2017/xj1F/download
,,
Mother! (2017),/en/subtitles/en-mother%21-2017/GA1F/download,/en/subtitles/en-mother%21-2017/GA1F/download
Il racconto dei racconti (2015),/en/subtitles/en-il-racconto-dei-racconti-2015/L0pB/download,/en/subtitles/en-il-racconto-dei-racconti-2015/JrY9/download
Split (2016),,/en/subtitles/en-split-2016/mj9D/download
Red Sparrow (2018),/en/subtitles/en-red-sparrow-2018/C2xF/download,/en/subtitles/en-red-sparrow-2018/EGNF/download
Deep Blue Sea 2 (2018),,/en/subtitles/en-deep-blue-sea-2-2018/qmNF/download
,,
Alien: Covenant (2017),/en/subtitles/en-alien-covenant-2017/RbNE/download,/en/subtitles/en-alien-covenant-2017/RbNE/download
,,
Insidious: The Last Key (2018),/en/subtitles/en-insidious-the-last-key-2018/llRF/download,/en/subtitles/en-insidious-the-last-key-2018/llRF/download
,,
,,
Tulip Fever (2017),/en/subtitles/en-tulip-fever-2017/o_1E/download,/en/subtitles/en-tulip-fever-2017/o_1E/download
Patriots Day (2016),/en/subtitles/en-patriots-day-2016/j_lC/download,/en/subtitles/en-patriots-day-2016/MIJD/download
,,
Lawrence of Arabia (1962),/en/subtitles/en-lawrence-of-arabia-1962/LTQd/download,/en/subtitles/en-lawrence-of-arabia-1962/LTQd/download
Gone with the Wind (1939),/en/subtitles/en-gone-with-the-wind-1939/jSQ2/download,/en/subtitles/en-gone-with-the-wind-1939/jSQ2/download
Spotlight (2015),/en/subtitles/en-spotlight-2015/nmA_/download,/en/subtitles/en-spotlight-2015/nmA_/download
Apollo 13 (1995),/en/subtitles/en-apollo-13-1995/f3IK/download,/en/subtitles/en-apollo-13-1995/lkNE/download
Get Out (2017),/en/subtitles/en-get-out-2017/JAlE/download,/en/subtitles/en-get-out-2017/JAlE/download
It (2017),/en/subtitles/en-it-2017/0BVF/download,/en/subtitles/en-it-2017/0BVF/download
,,
,,
